iso3c|year|fmratio
MUS|2013|60.0891891891892
MUS|2014|60.1916786690178
MUS|2015|62.0609374788506
MUS|2016|61.1004452432499
MUS|2017|61.3454510874733
MUS|2018|62.1585453341427
MUS|2019|63.1674631922542
MUS|2020|62.5802565270411
MUS|2021|62.6408019708402
MUS|2022|61.7896027321288
MUS|2023|62.7553402591339
MEX|1991|40.8078425767105
MEX|1992|41.6050937254995
MEX|1993|42.4543377644148
MEX|1994|43.3171440135228
MEX|1995|45.4115375331885
MEX|1996|45.4396432230459
MEX|1997|47.4123399524191
MEX|1998|47.160514548092
MEX|1999|46.6132230605533
MEX|2000|47.3668185029109
MEX|2001|46.9456375015339
MEX|2002|47.687465790914104
MEX|2003|48.5093839782098
MEX|2004|49.9508394628433
MEX|2005|51.0048415656459
MEX|2006|52.277017606633
MEX|2007|52.9443825095999
MEX|2008|53.0058523222513
MEX|2009|54.0954151955672
MEX|2010|54.0424781436598
MEX|2011|54.6801763672887
MEX|2012|55.7906795236537
MEX|2013|56.0437753036437
MEX|2014|54.9263643507135
MEX|2015|55.6311086821134
MEX|2016|55.9017941454202
MEX|2017|55.4455951271214
MEX|2018|56.1320754716981
MEX|2019|58.0426294565705
MEX|2020|57.1739609745342
MEX|2021|57.8127444334359
MEX|2022|59.1177420396564
MEX|2023|60.486216121903
MDA|1991|88.2079412367397
MDA|1992|88.15834984121
MDA|1993|88.1370039417686
MDA|1994|88.1179109863044
MDA|1995|88.1204588610078
MDA|1996|88.0812952118498
MDA|1997|88.0961710264408
MDA|1998|88.0485746436609
MDA|1999|88.0271577961605
MDA|2000|88.04375
MDA|2001|88.8005581063322
MDA|2002|91.2199753473032
MDA|2003|95.6492808517173
MDA|2004|97.9007428140812
MDA|2005|100.843031247136
MDA|2006|96.9017709003488
MDA|2007|100.085000765007
MDA|2008|98.7497707913117
MDA|2009|97.3184557163508
MDA|2010|97.6916362729512
MDA|2011|99.8913498998867
MDA|2012|101.666121673596
MDA|2013|101.140971676149
MDA|2014|99.8269247411082
MDA|2015|97.5400618498735
MDA|2016|96.974089763979
MDA|2017|97.1462750241414
MDA|2018|97.9349509550852
MDA|2019|96.8795211483362
MDA|2020|95.0522579923988
MDA|2021|94.4982865710002
MDA|2022|97.0029170341225
MDA|2023|98.360454656963
